StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
33,Cumberland Bay,5/12/92,1005,Alkalinity,,U,40,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Chloride,,U,9.2,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Dissolved Organic Carbon,,U,3.8,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Dissolved Phosphorus,,U,7,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Dissolved Silica,,U,1.89,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Iron,,U,16,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Lead,<,U,10,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Magnesium,,U,3.2,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Ortho-Phosphorus,,U,4,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Potassium,,U,1.4,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Secchi Depth,,,3.1,,,9228007
33,Cumberland Bay,5/12/92,1005,Sodium,,U,6,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Temperature,,,10.5,1,,9228007
33,Cumberland Bay,5/12/92,1005,Total Kjeldahl Nitrogen,,U,0.43,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Total Nitrate-Nitrite,,U,0.21,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Total Nitrogen,,U,0.58,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Total Organic Carbon,,U,4.5,2,NY,9228007
33,Cumberland Bay,5/12/92,1005,Total Phosphorus,,U,16,2,VT,9228007
33,Cumberland Bay,5/12/92,1005,Total Suspended Solids,,U,1.25,2,VT,9228007
33,Cumberland Bay,5/12/92,1015,Alkalinity,,U,40.3,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Chloride,,U,9.2,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Dissolved Organic Carbon,,U,4.1,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Dissolved Phosphorus,,U,8,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Dissolved Silica,,U,1.86,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Iron,,U,17,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Lead,<,U,10,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Magnesium,,U,3.2,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Ortho-Phosphorus,,U,4,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Potassium,,U,1.1,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Sodium,,U,5.9,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Total Kjeldahl Nitrogen,,U,0.21,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Total Nitrate-Nitrite,,U,0.19,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Total Nitrogen,,U,0.5,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Total Organic Carbon,,U,4.3,11,NY,9228008
33,Cumberland Bay,5/12/92,1015,Total Phosphorus,,U,14,11,VT,9228008
33,Cumberland Bay,5/12/92,1015,Total Suspended Solids,,U,1.04,11,VT,9228008
33,Cumberland Bay,5/19/92,1015,Alkalinity,,U,44.9,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Chloride,,U,10.2,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Dissolved Inorganic Carbon,,U,10,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Dissolved Organic Carbon,,U,4.8,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Dissolved Phosphorus,,U,7,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Dissolved Silica,,U,1.1,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Lead,<,U,10,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Magnesium,,U,3.5,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Ortho-Phosphorus,,U,2,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Potassium,,U,1.2,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Secchi Depth,,,3,,,9228022
33,Cumberland Bay,5/19/92,1015,Sodium,,U,6.6,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Temperature,,,8.7,1,,9228022
33,Cumberland Bay,5/19/92,1015,Total Kjeldahl Nitrogen,,U,0.21,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Total Nitrate-Nitrite,,U,0.18,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Total Nitrogen,,U,0.52,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Total Organic Carbon,,U,6,2,NY,9228022
33,Cumberland Bay,5/19/92,1015,Total Phosphorus,,U,12,2,VT,9228022
33,Cumberland Bay,5/19/92,1015,Total Suspended Solids,<,U,1,2,VT,9228022
33,Cumberland Bay,5/19/92,1030,Alkalinity,,U,49.7,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Chloride,,U,10.8,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Chlorophyll-a,,,6.32,6,NY,9228023
33,Cumberland Bay,5/19/92,1030,Dissolved Inorganic Carbon,,U,11,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Dissolved Organic Carbon,,U,8.4,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Dissolved Phosphorus,,U,6,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Dissolved Silica,,U,0.77,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Iron,,U,66,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Lead,<,U,10,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Magnesium,,U,4,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Ortho-Phosphorus,<,U,2,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Potassium,,U,1.3,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Sodium,,U,7.4,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Total Kjeldahl Nitrogen,,U,0.14,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Total Nitrate-Nitrite,,U,0.21,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Total Nitrogen,,U,0.56,10,VT,9228023
33,Cumberland Bay,5/19/92,1030,Total Organic Carbon,,U,5.3,10,NY,9228023
33,Cumberland Bay,5/19/92,1030,Total Phosphorus,,U,12,10,VT,9228023
