StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
19,Main Lake,5/7/92,1145,Chlorophyll-a,,,4.96,10.6,NY,9228001
19,Main Lake,5/7/92,1145,Dissolved Organic Carbon,,U,3.4,2,NY,9228001
19,Main Lake,5/7/92,1145,Iron,,U,5,2,NY,9228001
19,Main Lake,5/7/92,1145,Lead,<,U,10,2,NY,9228001
19,Main Lake,5/7/92,1145,Magnesium,,U,3.9,2,NY,9228001
19,Main Lake,5/7/92,1145,Potassium,,U,1.5,2,NY,9228001
19,Main Lake,5/7/92,1145,Sodium,,U,7.3,2,NY,9228001
19,Main Lake,5/7/92,1145,Total Kjeldahl Nitrogen,,U,0.14,2,NY,9228001
19,Main Lake,5/7/92,1145,Total Nitrate-Nitrite,,U,0.14,2,NY,9228001
19,Main Lake,5/7/92,1145,Total Organic Carbon,,U,4,2,NY,9228001
19,Main Lake,5/7/92,1215,Dissolved Organic Carbon,,H,3,100,NY,9228002
19,Main Lake,5/7/92,1215,Iron,,H,5,100,NY,9228002
19,Main Lake,5/7/92,1215,Lead,<,H,10,100,NY,9228002
19,Main Lake,5/7/92,1215,Magnesium,,H,3.8,100,NY,9228002
19,Main Lake,5/7/92,1215,Potassium,,H,1.4,100,NY,9228002
19,Main Lake,5/7/92,1215,Sodium,,H,7.2,100,NY,9228002
19,Main Lake,5/7/92,1215,Total Kjeldahl Nitrogen,,H,0.12,100,NY,9228002
19,Main Lake,5/7/92,1215,Total Nitrate-Nitrite,,H,0.27,100,NY,9228002
19,Main Lake,5/7/92,1215,Total Organic Carbon,,H,3.3,100,NY,9228002
19,Main Lake,5/7/92,1145,Alkalinity,,U,50.9,2,VT,9262003
19,Main Lake,5/7/92,1145,Chloride,,U,11.7,2,VT,9262003
19,Main Lake,5/7/92,1145,Dissolved Phosphorus,,U,10,2,VT,9262003
19,Main Lake,5/7/92,1145,Dissolved Silica,,U,0.71,2,VT,9262003
19,Main Lake,5/7/92,1145,Ortho-Phosphorus,,U,8,2,VT,9262003
19,Main Lake,5/7/92,1145,Secchi Depth,,,5.3,,,9262003
19,Main Lake,5/7/92,1145,Temperature,,,2.7,1,,9262003
19,Main Lake,5/7/92,1145,Total Nitrogen,,U,0.56,2,VT,9262003
19,Main Lake,5/7/92,1145,Total Phosphorus,,U,14,2,VT,9262003
19,Main Lake,5/7/92,1145,Total Suspended Solids,,U,1.39,2,VT,9262003
19,Main Lake,5/7/92,1215,Alkalinity,,U,51.2,100,VT,9262004
19,Main Lake,5/7/92,1215,Chloride,,U,11.6,100,VT,9262004
19,Main Lake,5/7/92,1215,Dissolved Phosphorus,,U,7,100,VT,9262004
19,Main Lake,5/7/92,1215,Dissolved Silica,,U,0.79,100,VT,9262004
19,Main Lake,5/7/92,1215,Ortho-Phosphorus,,U,7,100,VT,9262004
19,Main Lake,5/7/92,1215,Total Nitrogen,,U,0.56,100,VT,9262004
19,Main Lake,5/7/92,1215,Total Phosphorus,,U,13,100,VT,9262004
19,Main Lake,5/7/92,1215,Total Suspended Solids,,U,1.68,100,VT,9262004
19,Main Lake,5/20/92,1450,Alkalinity,,E,51.1,2,VT,9228035
19,Main Lake,5/20/92,1450,Chloride,,E,11.5,2,VT,9228035
19,Main Lake,5/20/92,1450,Chlorophyll-a,,,6.7,8.6,NY,9228035
19,Main Lake,5/20/92,1450,Dissolved Inorganic Carbon,,E,12,2,NY,9228035
19,Main Lake,5/20/92,1450,Dissolved Organic Carbon,,E,4,2,NY,9228035
19,Main Lake,5/20/92,1450,Dissolved Phosphorus,,E,5,2,VT,9228035
19,Main Lake,5/20/92,1450,Dissolved Silica,,E,0.3,2,VT,9228035
19,Main Lake,5/20/92,1450,Iron,,E,26,2,NY,9228035
19,Main Lake,5/20/92,1450,Lead,<,E,10,2,NY,9228035
19,Main Lake,5/20/92,1450,Magnesium,,E,3.8,2,NY,9228035
19,Main Lake,5/20/92,1450,Ortho-Phosphorus,<,E,2,2,VT,9228035
19,Main Lake,5/20/92,1450,Potassium,,E,1.5,2,NY,9228035
19,Main Lake,5/20/92,1450,Secchi Depth,,,4.3,,,9228035
19,Main Lake,5/20/92,1450,Sodium,,E,7,2,NY,9228035
19,Main Lake,5/20/92,1450,Temperature,,,6.8,1,,9228035
19,Main Lake,5/20/92,1450,Total Kjeldahl Nitrogen,,E,0.16,2,NY,9228035
19,Main Lake,5/20/92,1450,Total Nitrate-Nitrite,,E,0.16,2,NY,9228035
19,Main Lake,5/20/92,1450,Total Nitrogen,,E,0.55,2,VT,9228035
19,Main Lake,5/20/92,1450,Total Organic Carbon,,E,4.3,2,NY,9228035
19,Main Lake,5/20/92,1450,Total Phosphorus,,E,15,2,VT,9228035
19,Main Lake,5/20/92,1450,Total Suspended Solids,,E,1.52,2,VT,9228035
19,Main Lake,5/20/92,1520,Alkalinity,,H,50.3,103,VT,9228036
19,Main Lake,5/20/92,1520,Chloride,,H,11.5,103,VT,9228036
19,Main Lake,5/20/92,1520,Dissolved Inorganic Carbon,,H,12,103,NY,9228036
19,Main Lake,5/20/92,1520,Dissolved Organic Carbon,,H,3.4,103,NY,9228036
19,Main Lake,5/20/92,1520,Dissolved Phosphorus,,H,7,103,VT,9228036
19,Main Lake,5/20/92,1520,Dissolved Silica,,H,0.42,103,VT,9228036
19,Main Lake,5/20/92,1520,Iron,,H,35,103,NY,9228036
19,Main Lake,5/20/92,1520,Lead,<,H,10,103,NY,9228036
19,Main Lake,5/20/92,1520,Magnesium,,H,3.7,103,NY,9228036
19,Main Lake,5/20/92,1520,Ortho-Phosphorus,,H,4,103,VT,9228036
19,Main Lake,5/20/92,1520,Potassium,,H,1.5,103,NY,9228036
19,Main Lake,5/20/92,1520,Sodium,,H,6.9,103,NY,9228036
19,Main Lake,5/20/92,1520,Total Kjeldahl Nitrogen,,H,0.14,103,NY,9228036
19,Main Lake,5/20/92,1520,Total Nitrate-Nitrite,,H,0.15,103,NY,9228036
19,Main Lake,5/20/92,1520,Total Nitrogen,,H,0.52,103,VT,9228036
19,Main Lake,5/20/92,1520,Total Organic Carbon,,H,4.1,103,NY,9228036
19,Main Lake,5/20/92,1520,Total Phosphorus,,H,12,103,VT,9228036
19,Main Lake,5/20/92,1520,Total Suspended Solids,,H,1.4,103,VT,9228036
19,Main Lake,6/9/92,1315,Alkalinity,,E,50.6,2,VT,9228056
19,Main Lake,6/9/92,1315,Chloride,,E,11.3,2,VT,9228056
19,Main Lake,6/9/92,1315,Chlorophyll-a,,,5.95,6.8,NY,9228056
19,Main Lake,6/9/92,1315,Dissolved Inorganic Carbon,,E,12,2,NY,9228056
19,Main Lake,6/9/92,1315,Dissolved Organic Carbon,,E,3.9,2,NY,9228056
19,Main Lake,6/9/92,1315,Dissolved Phosphorus,,E,7,2,VT,9228056
19,Main Lake,6/9/92,1315,Dissolved Silica,<,E,0.1,2,VT,9228056
19,Main Lake,6/9/92,1315,Iron,,E,18,2,NY,9228056
19,Main Lake,6/9/92,1315,Lead,<,E,10,2,NY,9228056
19,Main Lake,6/9/92,1315,Magnesium,,E,3.7,2,NY,9228056
19,Main Lake,6/9/92,1315,Ortho-Phosphorus,,E,2,2,VT,9228056
19,Main Lake,6/9/92,1315,pH,,E,8.7,2,VT,9228056
19,Main Lake,6/9/92,1315,Potassium,,E,1.6,2,NY,9228056
19,Main Lake,6/9/92,1315,Secchi Depth,,,3.4,,,9228056
19,Main Lake,6/9/92,1315,Sodium,,E,6.9,2,NY,9228056
19,Main Lake,6/9/92,1315,Temperature,,,14.4,1,,9228056
19,Main Lake,6/9/92,1315,Total Ammonia,,E,0.009,2,NY,9228056
19,Main Lake,6/9/92,1315,Total Kjeldahl Nitrogen,,E,0.11,2,NY,9228056
19,Main Lake,6/9/92,1315,Total Nitrate-Nitrite,,E,0.11,2,NY,9228056
19,Main Lake,6/9/92,1315,Total Nitrogen,,E,0.43,2,VT,9228056
19,Main Lake,6/9/92,1315,Total Organic Carbon,,E,3.6,2,NY,9228056
19,Main Lake,6/9/92,1315,Total Phosphorus,,E,17,2,VT,9228056
19,Main Lake,6/9/92,1315,Total Suspended Solids,,E,0.96,2,VT,9228056
19,Main Lake,6/9/92,1330,Alkalinity,,H,52.2,101,VT,9228057
19,Main Lake,6/9/92,1330,Chloride,,H,11.8,101,VT,9228057
19,Main Lake,6/9/92,1330,Dissolved Inorganic Carbon,,H,12,101,NY,9228057
19,Main Lake,6/9/92,1330,Dissolved Organic Carbon,,H,2.3,101,NY,9228057
19,Main Lake,6/9/92,1330,Dissolved Phosphorus,,H,8,101,VT,9228057
19,Main Lake,6/9/92,1330,Dissolved Silica,,H,0.31,101,VT,9228057
19,Main Lake,6/9/92,1330,Iron,,H,30,101,NY,9228057
19,Main Lake,6/9/92,1330,Lead,<,H,10,101,NY,9228057
19,Main Lake,6/9/92,1330,Magnesium,,H,3.8,101,NY,9228057
19,Main Lake,6/9/92,1330,Ortho-Phosphorus,,H,5,101,VT,9228057
19,Main Lake,6/9/92,1330,pH,,H,8,101,VT,9228057
19,Main Lake,6/9/92,1330,Potassium,,H,1.5,101,NY,9228057
19,Main Lake,6/9/92,1330,Sodium,,H,7.1,101,NY,9228057
19,Main Lake,6/9/92,1330,Total Ammonia,,H,0.014,101,NY,9228057
19,Main Lake,6/9/92,1330,Total Kjeldahl Nitrogen,,H,0.19,101,NY,9228057
19,Main Lake,6/9/92,1330,Total Nitrate-Nitrite,,H,0.15,101,NY,9228057
19,Main Lake,6/9/92,1330,Total Nitrogen,,H,0.46,101,VT,9228057
19,Main Lake,6/9/92,1330,Total Organic Carbon,,H,3.6,101,NY,9228057
19,Main Lake,6/9/92,1330,Total Phosphorus,,H,11,101,VT,9228057
19,Main Lake,6/9/92,1330,Total Suspended Solids,,H,0.37,101,VT,9228057
19,Main Lake,6/23/92,1100,Alkalinity,,E,49.1,2,VT,9228059
19,Main Lake,6/23/92,1100,Chloride,,E,10.7,2,VT,9228059
19,Main Lake,6/23/92,1100,Chlorophyll-a,,,2.6,10,NY,9228059
19,Main Lake,6/23/92,1100,Dissolved Inorganic Carbon,,E,12,2,NY,9228059
19,Main Lake,6/23/92,1100,Dissolved Organic Carbon,,E,4.6,2,NY,9228059
19,Main Lake,6/23/92,1100,Dissolved Phosphorus,,E,7,2,VT,9228059
19,Main Lake,6/23/92,1100,Dissolved Silica,<,E,0.1,2,VT,9228059
19,Main Lake,6/23/92,1100,Iron,,E,17,2,NY,9228059
19,Main Lake,6/23/92,1100,Lead,<,E,10,2,NY,9228059
19,Main Lake,6/23/92,1100,Magnesium,,E,3.7,2,NY,9228059
19,Main Lake,6/23/92,1100,Ortho-Phosphorus,,E,2,2,VT,9228059
19,Main Lake,6/23/92,1100,Potassium,,E,1.4,2,NY,9228059
19,Main Lake,6/23/92,1100,Secchi Depth,,,5,,,9228059
19,Main Lake,6/23/92,1100,Sodium,,E,6.8,2,NY,9228059
